Id,latitude,longitude,region,country,observationDate,serotypes,speciesSource,species,sumAtRisk,sumCases,sumDeaths,humansAffected,humansDeaths
175967,40.266901,116.593838,Asia,China,11/25/2003,H5N1 HPAI,,,0,0,0,1,1
176055,21.139705,105.847715,Asia,Vietnam,12/22/2003,H5N1 HPAI,,,0,0,0,1,0
171322,20.10604,106.13847,Asia,Vietnam,12/24/2003,H5N1 HPAI,,,0,0,0,1,1
158682,20.456552,105.920056,Asia,Vietnam,12/24/2003,H5N1 HPAI,,,0,0,0,1,1
158684,21.03466,106.06309,Asia,Vietnam,12/27/2003,H5N1 HPAI,,,0,0,0,1,1
171323,20.456552,105.920056,Asia,Vietnam,1/1/2004,H5N1 HPAI,,,0,0,0,1,1
171246,21.28368,106.17239,Asia,Vietnam,1/9/2004,H5N1 HPAI,,,0,0,0,1,0
171250,20.48724,106.33061,Asia,Vietnam,1/10/2004,H5N1 HPAI,,,0,0,0,1,1
171249,20.48724,106.33061,Asia,Vietnam,1/10/2004,H5N1 HPAI,,,0,0,0,1,1
171247,21.03466,106.06309,Asia,Vietnam,1/11/2004,H5N1 HPAI,,,0,0,0,1,0
158686,21.13293,105.37896,Asia,Vietnam,1/11/2004,H5N1 HPAI,,,0,0,0,1,1
171251,11.158045,106.257282,Asia,Vietnam,1/12/2004,H5N1 HPAI,,,0,0,0,1,1
3674,11.56,104.89,Asia,Cambodia,1/12/2004,H5N1 HPAI,domestic,chicken,7500,3300,3300,0,0
4496,11.23,104.79,Asia,Cambodia,1/14/2004,H5N1 HPAI,wild,unspecified bird,346,86,86,0,0
173549,14.60962,99.89504,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,0
173540,16.40595,102.58112,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,1
173539,17.74163,100.51826,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,0
173538,14.60962,99.89504,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,1
173537,16.017664,101.844128,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,1
173535,17.249131,99.712648,Asia,Thailand,1/15/2004,H5N1 HPAI,,,0,0,0,1,1
171026,10.79833,106.65595,Asia,Vietnam,1/15/2004,H5N1 HPAI,,,0,0,0,1,0
4126,18.00444,102.56167,Asia,Lao PDR,1/15/2004,H5N1 HPAI,domestic,chicken,0,1600,1600,0,0
3682,17.51639,101.07167,Asia,Lao PDR,1/15/2004,H5N1 HPAI,domestic,chicken,0,2100,2100,0,0
4164,11.59,104.88,Asia,Cambodia,1/16/2004,H5N1 HPAI,domestic,"duck,chicken,goose",0,43,34,0,0
4118,18.03361,102.63222,Asia,Lao PDR,1/16/2004,H5N1 HPAI,domestic,chicken,0,2600,2600,0,0
4138,17.98333,102.58333,Asia,Lao PDR,1/17/2004,H5N1 HPAI,domestic,chicken,0,824,824,0,0
4130,18.09472,102.90278,Asia,Lao PDR,1/17/2004,H5N1 HPAI,domestic,chicken,0,3388,3388,0,0
4180,11.44,105.12,Asia,Cambodia,1/19/2004,H5N1 HPAI,domestic,"duck,guinea fowl,chicken,goose,turkey",267,207,207,0,0
4148,17.51667,104.76667,Asia,Lao PDR,1/19/2004,H5N1 HPAI,domestic,chicken,0,3394,3394,0,0
4114,18.00861,102.61111,Asia,Lao PDR,1/19/2004,H5N1 HPAI,domestic,chicken,0,950,950,0,0
3582,17.96667,102.6,Asia,Lao PDR,1/19/2004,H5N1 HPAI,domestic,chicken,3000,2700,2700,0,0
4134,18.01528,102.39667,Asia,Lao PDR,1/20/2004,H5N1 HPAI,domestic,chicken,0,4,4,0,0
4122,18.03583,102.64972,Asia,Lao PDR,1/20/2004,H5N1 HPAI,domestic,chicken,0,2500,2500,0,0
3704,24.89333,102.79667,Asia,China,1/20/2004,H5N1 HPAI,domestic,"duck,chicken",78000,78000,4820,0,0
3608,28.889,120.047,Asia,China,1/20/2004,H5N1 HPAI,domestic,"duck,chicken,goose",850,550,550,0,0
3574,23.166,107.696,Asia,China,1/20/2004,H5N1 HPAI,domestic,"duck,chicken",0,280,280,0,0
3710,28.293,117.245,Asia,China,1/22/2004,H5N1 HPAI,domestic,"duck,chicken",8600,8600,8600,0,0
171252,10.95432,106.88164,Asia,Vietnam,1/23/2004,H5N1 HPAI,,,0,0,0,1,1
171027,10.768586,106.641754,Asia,Vietnam,1/23/2004,H5N1 HPAI,,,0,0,0,1,1
158692,14.689773,99.081903,Asia,Thailand,1/23/2004,H5N1 HPAI,,,0,0,0,1,1
158690,14.566925,100.010675,Asia,Thailand,1/23/2004,H5N1 HPAI,,,0,0,0,1,1
4058,25.80167,113.05639,Asia,China,1/23/2004,H5N1 HPAI,domestic,duck,400,400,300,0,0
3898,43.8,87.58333,Asia,China,1/23/2004,H5N1 HPAI,domestic,chicken,0,4058,4058,0,0
3656,31.85667,112.15944,Asia,China,1/23/2004,H5N1 HPAI,domestic,"duck,chicken,goose",4200,2000,22,0,0
3650,29.256,113.277,Asia,China,1/23/2004,H5N1 HPAI,domestic,chicken,0,2400,2380,0,0
3610,43.8,87.58333,Asia,China,1/23/2004,H5N1 HPAI,domestic,chicken,6400,4508,4508,0,0
173536,14.57967,99.05625,Asia,Thailand,1/24/2004,H5N1 HPAI,,,0,0,0,1,1
171028,9.34535,105.98842,Asia,Vietnam,1/24/2004,H5N1 HPAI,,,0,0,0,1,1
4106,18,102.66667,Asia,Lao PDR,1/24/2004,H5N1 HPAI,domestic,chicken,0,1600,1600,0,0
3782,14.12583,99.70111,Asia,Thailand,1/24/2004,H5N1 HPAI,domestic,chicken,0,1196263,0,0,0
3590,23.672,116.646,Asia,China,1/24/2004,H5N1 HPAI,domestic,"duck,chicken,goose",180,80,80,0,0
3586,30.4,114.83333,Asia,China,1/25/2004,H5N1 HPAI,domestic,"duck,chicken,goose",564,200,200,0,0
4098,17.93611,102.67083,Asia,Lao PDR,1/26/2004,H5N1 HPAI,domestic,duck,0,2000,2000,0,0
